Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
36	Spectrogram 1	1	46.66	46.78	0.119999999999997	0	351.5625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	46.66	5047.200418195313.wav	NN	NA	BlobDetector	0.800920791519419
37	Spectrogram 1	1	46.94	47.14	0.200000000000003	0	281.25	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	46.94	5047.200418195313.wav	NN	NA	BlobDetector	0.568803831353749
38	Spectrogram 1	1	47.68	47.77	0.0900000000000034	878.90625	1019.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	47.68	5047.200418195313.wav	NN	NA	BlobDetector	1
39	Spectrogram 1	1	47.92	47.97	0.0499999999999972	703.125	937.5	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	47.92	5047.200418195313.wav	NN	NA	BlobDetector	0.993517665130568
40	Spectrogram 1	1	48.21	48.3	0.0900000000000034	0	117.1875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	48.21	5047.200418195313.wav	NN	NA	BlobDetector	0.682093758609687
41	Spectrogram 1	1	48.64	48.71	0.0700000000000003	0	199.21875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	48.64	5047.200418195313.wav	NN	NA	BlobDetector	0.580508378410898
42	Spectrogram 1	1	48.78	48.88	0.100000000000001	0	410.15625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	48.78	5047.200418195313.wav	NN	NA	BlobDetector	0.664065487485555
43	Spectrogram 1	1	49.23	49.33	0.0999999999999943	0	457.03125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	49.23	5047.200418195313.wav	NN	NA	BlobDetector	0.527486068366818
44	Spectrogram 1	1	49.84	49.95	0.109999999999999	0	421.875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	49.84	5047.200418195313.wav	FS	NA	BlobDetector	0.508845709174888
45	Spectrogram 1	1	52.08	52.18	0.100000000000001	867.1875	1019.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	52.08	5047.200418195313.wav	NN	NA	BlobDetector	0.99974358974359
46	Spectrogram 1	1	58.43	58.48	0.0500000000000043	82.03125	128.90625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	58.43	5047.200418195313.wav	NN	NA	BlobDetector	0.656027568395273
47	Spectrogram 1	1	67.74	67.86	0.120000000000005	468.75	1019.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	67.74	5047.200418195313.wav	NN	NA	BlobDetector	0.995850544317121
48	Spectrogram 1	1	70.62	70.71	0.0900000000000034	0	222.65625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	70.62	5047.200418195313.wav	NN	NA	BlobDetector	0.625277458921727
49	Spectrogram 1	1	70.99	71.72	0.730000000000004	0	351.5625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	70.99	5047.200418195313.wav	FS	NA	BlobDetector	0.742380887212505
50	Spectrogram 1	1	72.57	72.66	0.0899999999999892	0	58.59375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	72.57	5047.200418195313.wav	NN	NA	BlobDetector	0.734318756012639
